,Price,Year,Make,Model,Kilometres
161,53999,2023,toyota,tundra,27258
162,33980,2021,ford,f-150,121799
163,73888,2022,tesla,model s,39000
164,25500,2019,mazda,mazda3,55683
165,31984,2020,ford,ranger,97032
166,31900,2018,chrysler,pacifica,129547
167,36999,2020,jeep,grand cherokee,76027
168,38999,2023,buick,envision,11090
169,59995,2023,infiniti,qx80,19683
170,69985,2023,ford,f-350,83001
171,83988,2022,mercedes-benz,eqs,42226
172,73499,2021,mercedes-benz,gle,70000
173,11990,2017,nissan,murano,194776
174,34950,2023,toyota,camry,15943
175,36800,1991,mercedes-benz,sl-class,123840
176,57995,2022,ram,2500,105270
177,54995,2017,land rover,range rover,90000
178,26000,2019,cadillac,xts,82069
179,88888,2022,mercedes-benz,eqs,35980
180,55769,2023,ram,1500 classic,44
181,44899,2023,audi,s3,21998
182,26880,2019,bmw,3 series,81860
183,44093,2023,cadillac,xt5,1827
184,28954,2022,chevrolet,equinox,61100
185,67990,2022,ford,f-150,47933
186,8990,2016,mazda,mazda3,206015
187,82370,2023,ford,e-transit cargo van,125
188,63299,2023,ford,bronco,43504
189,24984,2018,mitsubishi,outlander phev,119812
190,31995,2022,audi,a4,62795
191,24990,2021,mazda,cx-30,81642
192,39985,2020,gmc,sierra 1500,128413
193,23994,2020,buick,encore,72850
194,28092,2019,nissan,370z,53234
195,36299,2022,nissan,murano,31378
196,76695,2022,jeep,grand wagoneer,41814
197,45998,2019,lexus,gs,53992
198,27994,2019,jeep,compass,73322
199,112272,2025,gmc,sierra 3500hd,13
200,34999,2022,jeep,wrangler,31117
201,45995,2022,lincoln,nautilus,20609
202,18460,2016,dodge,journey,84612
203,20999,2014,bmw,4 series,91400
204,23999,2021,kia,seltos,37559
205,78995,2024,audi,q8 e-tron sportback,18895
206,41898,2019,audi,s5,59854
207,38149,2024,hyundai,kona,6
208,32995,2022,honda,civic sedan,60072
209,39985,2021,hyundai,palisade,101900
210,12985,2012,nissan,maxima,85955
211,31987,2024,subaru,impreza,15553
212,44999,2021,dodge,durango,82798
213,44998,2024,nissan,murano,1015
214,42700,2021,bmw,4 series,33548
215,39350,2025,volkswagen,jetta gli,5
216,113990,2023,cadillac,ct5-v,1950
217,26875,2015,mercedes-benz,gl-class,136948
218,47995,2023,volvo,xc40,22510
219,207888,2024,mercedes-benz,s-class,4021
220,55500,2020,gmc,yukon xl,88150
221,57900,2024,mazda,cx-90 mhev,14660
222,35749,2021,bmw,5 series,91424
223,29998,2023,ford,edge,53212
224,31995,2021,audi,q5,66679
225,34950,2023,toyota,camry,15943
226,69997,2023,ford,bronco,7751
